id_producto,nombre_marca,nombre_reciclaje,nombre_empresa,nombre_productos_clasificacion,nombre,gramos_envase,formato,unidad,unidad_real,cantidad,texto,cluster300,label300,label,categoria,nombre_productos_clasificacion_pred,categoria_pred,nombre_reciclaje_pred,unidad_real_pred
2708,havana club,,CCU,"LICORES, CERVEZAS Y  VINOS",Ron Dorado Reserva  Gl,800,CLUB,CLUB,,,ron dorado reserva,238,Ron,Ron,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2709,sierra morena,,CCU,"LICORES, CERVEZAS Y  VINOS",Ron Dorado Añejado  Gl,800,MORENA,MORENA,,,ron dorado añejado,238,Ron,Ron,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2721,alto,,,"LICORES, CERVEZAS Y  VINOS",Pisco Alto del Carmen Especial ,800,DEL,DEL,,,pisco alto carmen especial,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2722,mal,,,"LICORES, CERVEZAS Y  VINOS",Pisco especial ,800,PASO,PASO,,,pisco especial,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2723,artesanos,,,"LICORES, CERVEZAS Y  VINOS",Pisco Especial ,800,DEL,DEL,,,pisco especial,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2724,el,,,"LICORES, CERVEZAS Y  VINOS",Pisco El Gobernador  Gl,800,GOBERNADOR,GOBERNADOR,,,pisco gobernador,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2726,,,,"LICORES, CERVEZAS Y  VINOS",Pisco   Gl,800,750ML,ML,ML,750,pisco,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2728,alamo,,,"LICORES, CERVEZAS Y  VINOS",Pisco Premium Alamo,800,750ML,ML,ML,750,pisco premium alamo,54,Premium,Premium,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2730,barcelo,,,"LICORES, CERVEZAS Y  VINOS",Ron Añejo,800,1LT,LT,LT,1,ron añejo,238,Ron,Ron,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,LT
2731,pampero,,,"LICORES, CERVEZAS Y  VINOS",Ron Pampero  Gl Selección,800,700ML,ML,ML,700,ron pampero selección,238,Ron,Ron,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2735,mistral,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Mistral Ice  Gl,800,275FOURPACKML,FOURPACKML,,275,pisco mistral ice,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2737,mistral,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco D.O. Nobel Mistral  Gl,800,750ML,ML,ML,750,pisco d.o nobel mistral,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2738,mistral,,CCU,"LICORES, CERVEZAS Y  VINOS",Pack  Pisco Mistral  Gl,800,750ML,ML,ML,750,pack pisco mistral,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2739,mistral,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco mistral ,800,750ML,ML,ML,750,pisco mistral,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2743,zacapa,,,"LICORES, CERVEZAS Y  VINOS",Ron Zacapa Ambar  Gl,800,750ML,ML,ML,750,ron zacapa ambar,238,Ron,Ron,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2746,cabo viejo,,,"LICORES, CERVEZAS Y  VINOS",Ron Cabo Viejo  Gl,800,VIEJO,VIEJO,,,ron cabo viejo,238,Ron,Ron,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2751,campanario,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Lucuma Colada  Gl,800,700ML,ML,ML,700,pisco lucuma colada,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2752,alto,,,"LICORES, CERVEZAS Y  VINOS",Pack Pisco Alto Del Carmen  Gl,800,DEL,DEL,,,pack pisco alto carmen,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2753,mal,,,"LICORES, CERVEZAS Y  VINOS",Pisco Mal Paso  Gl,800,PASO,PASO,,,pisco mal paso,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2754,mal,,,"LICORES, CERVEZAS Y  VINOS",Pisco Mal Paso Especial  Gl,800,PASO,PASO,,,pisco mal paso especial,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2755,tres erres,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco  Erres  ,800,ERRES,ERRES,,,pisco erres,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2756,capel,,,"LICORES, CERVEZAS Y  VINOS",Pisco Doble Destilado Especial ,800,700CC,CC,CC,700,pisco doble destilado especial,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,CC
2757,capel,,,"LICORES, CERVEZAS Y  VINOS",Pisco Doble Destilado Reservado Guarda ,800,700CC,CC,CC,700,pisco doble destilado reservado guarda,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,CC
2758,horcon quemado,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Horcon Quemado  Gl,800,QUEMADO,QUEMADO,,,pisco horcon quemado,0,Horcon Pisco Quemado,Horcon Pisco Quemado,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,CC
2760,horcon quemado,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Horcon Quemado  Gl,800,QUEMADO,QUEMADO,,,pisco horcon quemado,0,Horcon Pisco Quemado,Horcon Pisco Quemado,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,CC
2761,artesanos,,,"LICORES, CERVEZAS Y  VINOS",Pisco Especial ,800,DEL,DEL,,,pisco especial,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2762,barcelo,,,"LICORES, CERVEZAS Y  VINOS",Ron Barcelo Añejo  Gl,800,750ML,ML,ML,750,ron barcelo añejo,238,Ron,Ron,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2767,sierra morena,,CCU,"LICORES, CERVEZAS Y  VINOS",Ron Blanco . Gl,800,MORENA,MORENA,,,ron blanco,238,Ron,Ron,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2769,horcon quemado,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Horcon Quemado  Gl,800,QUEMADO,QUEMADO,,,pisco horcon quemado,0,Horcon Pisco Quemado,Horcon Pisco Quemado,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,CC
2772,campanario,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Campanario  Gl,800,700ML,ML,ML,700,pisco campanario,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2774,brujas,,,"LICORES, CERVEZAS Y  VINOS",Pisco Brujas de Salamanca Especial ,800,DE,DE,,,pisco bruja salamanca especial,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2776,tres,,,"LICORES, CERVEZAS Y  VINOS",Pisco transp. ,800,ERRES,ERRES,,,pisco transp,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2778,bauza,,,"LICORES, CERVEZAS Y  VINOS",Pisco Especial  Gl,800,750ML,ML,ML,750,pisco especial,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2784,bacardi,,,"LICORES, CERVEZAS Y  VINOS",Ron bacardi oakhearth  Gl,800,750ML,ML,ML,750,ron bacardi oakhearth,238,Ron,Ron,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2785,campanario,VIDRIO,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Campanario Sour Light  Gl,800,700ML,ML,ML,700,pisco campanario sour light,130,Pisco,Pisco,VIDRIOS,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2786,campanario,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Campanario Mango Light  Gl,800,700ML,ML,ML,700,pisco campanario mango light,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2788,campanario,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Campanario Pica  Gl,800,700ML,ML,ML,700,pisco campanario pica,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2789,campanario,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Sour Maracuya  Gl,800,700ML,ML,ML,700,pisco sour maracuya,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2796,sabor,,,"LICORES, CERVEZAS Y  VINOS",Pisco sour mango  gl,800,ANDINO,ANDINO,,,pisco sour mango,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2801,ruta,,,"LICORES, CERVEZAS Y  VINOS",Pisco Sour Mango  Gl,800,NORTE,NORTE,,,pisco sour mango,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2803,artesanos,,,"LICORES, CERVEZAS Y  VINOS",Pisco Sour Limón ,800,DEL,DEL,,,pisco sour limón,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2807,capel,,,"LICORES, CERVEZAS Y  VINOS",Pisco Sour Light Limón ,800,700CC,CC,CC,700,pisco sour light limón,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,CC
2812,alto,,,"LICORES, CERVEZAS Y  VINOS",Pisco Alto del Carmen Especial ,800,DEL,DEL,,,pisco alto carmen especial,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2813,bacardi,,,"LICORES, CERVEZAS Y  VINOS",Ron bacardi razz  Gl,800,750ML,ML,ML,750,ron bacardi razz,238,Ron,Ron,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2815,bacardi,,,"LICORES, CERVEZAS Y  VINOS",Ron bacardi carta blanca  Gl,800,750ML,ML,ML,750,ron bacardi carta blanca,238,Ron,Ron,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2816,ruta,,,"LICORES, CERVEZAS Y  VINOS",Pisco Sour Pica  Gl,800,NORTE,NORTE,,,pisco sour pica,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2817,ruta,,,"LICORES, CERVEZAS Y  VINOS",Pisco Sour Maracuya  Gl,800,NORTE,NORTE,,,pisco sour maracuya,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2818,ruta,,,"LICORES, CERVEZAS Y  VINOS",Pisco Sour Ruta Norte  Gl,800,NORTE,NORTE,,,pisco sour ruta norte,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2819,bacardi,,,"LICORES, CERVEZAS Y  VINOS",Ron bacardi limón  Gl,800,750ML,ML,ML,750,ron bacardi limón,238,Ron,Ron,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2823,sierra morena,,CCU,"LICORES, CERVEZAS Y  VINOS",Ron Blanco .,800,MORENA,MORENA,,,ron blanco,238,Ron,Ron,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2824,campanario,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Campanari Sour Mango  Gl,800,700ML,ML,ML,700,pisco campanari sour mango,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2825,mistral,,CCU,"LICORES, CERVEZAS Y  VINOS",Pack Pisco Mistral ,800,UN,UN,UN,,pack pisco mistral,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,UN
2831,campanario,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Mango Colado  Gl,800,700ML,ML,ML,700,pisco mango colado,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2837,ruta,,,"LICORES, CERVEZAS Y  VINOS",Pisco Sour Ruta Norte ,800,NORTE,NORTE,,,pisco sour ruta norte,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2838,ruta,,,"LICORES, CERVEZAS Y  VINOS",Pisco Sour Mango ,800,NORTE,NORTE,,,pisco sour mango,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
13,mistral,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Mistral  Gl,800,750ML,ML,ML,750,pisco mistral,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
6,campanario,,CCU,"LICORES, CERVEZAS Y  VINOS",Pisco Campanario Sour  Gl,800,700ML,ML,ML,700,pisco campanario sour,130,Pisco,Pisco,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2667,bombay,,,"LICORES, CERVEZAS Y  VINOS",Gin Star Of Bombay  Gl,700,SAPHIRE,SAPHIRE,,,gin star bombay,43,,Gin,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2671,bombay,,,"LICORES, CERVEZAS Y  VINOS",Gin Bombay Saphire  Gl,700,SAPHIRE,SAPHIRE,,,gin bombay saphire,43,,Gin,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2740,tanqueray,,,"LICORES, CERVEZAS Y  VINOS",Gin Tanqueray . Gl,700,750ML,ML,ML,750,gin tanqueray,43,,Gin,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2741,larios,,,"LICORES, CERVEZAS Y  VINOS",Gin dry .,700,UN,UN,UN,,gin dry,43,,Gin,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,UN
2763,larios,,,"LICORES, CERVEZAS Y  VINOS",Gin rose .,700,UN,UN,UN,,gin rose,43,,Gin,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,UN
2800,beefeater,,CCU,"LICORES, CERVEZAS Y  VINOS",Gin Beefeater  Gl,700,750ML,ML,ML,750,gin beefeater,43,,Gin,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2822,kantal,,CCU,"LICORES, CERVEZAS Y  VINOS",Gin Original Kantal ,700,750ML,ML,ML,750,gin original kantal,43,,Gin,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
133,celebrite,VIDRIO,CELEBRITE,"LICORES, CERVEZAS Y  VINOS",ESPUMANTE ULTRA PREMIUM,675,750CC,CC,CC,750,espumante ultra premium,54,Premium,Premium,VIDRIOS,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,CC
140,entre vientos,VIDRIO,ENTRE VIENTOS,"LICORES, CERVEZAS Y  VINOS",VINO GRAN RESERVA CABERNET SAUVIGNON,670,750CC,CC,CC,750,vino gran reserva cabernet sauvignon,4,Vino,Vino,VIDRIOS,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,CC
144,entre vientos,VIDRIO,ENTRE VIENTOS,"LICORES, CERVEZAS Y  VINOS",VINO GRAN RESERVA MERLOT,670,750CC,CC,CC,750,vino gran reserva merlot,44,Merlot Vino,Merlot Vino,VIDRIOS,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,CC
120,casa silva,VIDRIO,VIÑA CASA SILVA,DESPENSA,VINO COLECCIÓN CABERNET SAUVIGNON BOTELLA,670,1LITRO,LT,LT,1,vino colección cabernet sauvignon botella,4,Vino,Vino,VIDRIOS,DESPENSA,VIDRIOS,VIDRIO,LT
2908,celebrite,VIDRIO,CELEBRITE,"LICORES, CERVEZAS Y  VINOS",Espumante Brut,650,750ML,ML,ML,750,espumante brut,114,Brut Espumante,Brut Espumante,VIDRIOS,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2668,ballantines,,CCU,"LICORES, CERVEZAS Y  VINOS",Whisky Ballantines Hard Fire  Gl,600,750ML,ML,ML,750,whisky ballantines hard fire,103,Whisky,Whisky,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2670,stolichnaya,,,"LICORES, CERVEZAS Y  VINOS",Vodka,600,750ML,ML,ML,750,vodka,82,Vodka,Vodka,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2672,jim,,,"LICORES, CERVEZAS Y  VINOS",Whisky Jim Beam White  Gl,600,BEAM,BEAM,,,whisky jim beam white,103,Whisky,Whisky,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2673,tottus,,TOTTUS,"LICORES, CERVEZAS Y  VINOS",Whisky Escocés G,600,750ML,ML,ML,750,whisky escocés,103,Whisky,Whisky,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2675,s,,,"LICORES, CERVEZAS Y  VINOS",Whisky Sandy Mac Donald  Gl,600,MC,MC,,,whisky sandy mac donald,103,Whisky,Whisky,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2677,white,,,"LICORES, CERVEZAS Y  VINOS",Whisky White Horse  Gl,600,HORSE,HORSE,,,whisky white horse,103,Whisky,Whisky,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2680,johnnie,,,"LICORES, CERVEZAS Y  VINOS",Whisky Etiqueta Negra  Gl,600,WALKER,WALKER,,,whisky etiqueta negro,103,Whisky,Whisky,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2681,absolut,,CCU,"LICORES, CERVEZAS Y  VINOS",Vodka Absolut Lime ,600,750ML,ML,ML,750,vodka absolut lime,82,Vodka,Vodka,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2682,absolut,,CCU,"LICORES, CERVEZAS Y  VINOS",Vodka Blue  Gl,600,750ML,ML,ML,750,vodka blue,82,Vodka,Vodka,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2685,absolut,,CCU,"LICORES, CERVEZAS Y  VINOS",Vodka Mango  Gl,600,750ML,ML,ML,750,vodka mango,82,Vodka,Vodka,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2686,absolut,,CCU,"LICORES, CERVEZAS Y  VINOS",Vodka Mondrin  Gl,600,750ML,ML,ML,750,vodka mondrin,82,Vodka,Vodka,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2687,absolut,,CCU,"LICORES, CERVEZAS Y  VINOS",Vodka Pera  Gl,600,750ML,ML,ML,750,vodka pera,82,Vodka,Vodka,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2688,absolut,,CCU,"LICORES, CERVEZAS Y  VINOS",Vodka Raspberry  Gl,600,750ML,ML,ML,750,vodka raspberry,82,Vodka,Vodka,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2689,johnnie,,,"LICORES, CERVEZAS Y  VINOS",Whisky red label ,600,WALKER,WALKER,,,whisky red label,103,Whisky,Whisky,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2701,jack,,,"LICORES, CERVEZAS Y  VINOS",Whisky jack daniels tennes ,600,DANIELS,DANIELS,,,whisky jack daniels tennes,103,Whisky,Whisky,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2702,jack,,,"LICORES, CERVEZAS Y  VINOS",Whisky jack daniels honey ,600,DANIELS,DANIELS,,,whisky jack daniels honey,103,Whisky,Whisky,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2703,jack,,,"LICORES, CERVEZAS Y  VINOS",Whisky jack daniels fire ,600,DANIELS,DANIELS,,,whisky jack daniels fire,103,Whisky,Whisky,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2704,chivas regal,,CCU,"LICORES, CERVEZAS Y  VINOS",Whisky Chivas Regal  Gl,600,REGAL,REGAL,,,whisky chivas regal,103,Whisky,Whisky,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2710,eristoff,,,"LICORES, CERVEZAS Y  VINOS",Vodka,600,1LT,LT,LT,1,vodka,82,Vodka,Vodka,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,LT
2712,jim,,,"LICORES, CERVEZAS Y  VINOS",Whisky white ,600,BEAM,BEAM,,,whisky white,103,Whisky,Whisky,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2713,jameson,,CCU,"LICORES, CERVEZAS Y  VINOS",Whisky Jameson Irish  Gl,600,750ML,ML,ML,750,whisky jameson irish,103,Whisky,Whisky,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2714,white,,,"LICORES, CERVEZAS Y  VINOS",Whisky White Horse  Gl,600,HORSE,HORSE,,,whisky white horse,103,Whisky,Whisky,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
2715,vat,,,"LICORES, CERVEZAS Y  VINOS",Whisky Vat   Gl,600,69,,,,whisky vat,103,Whisky,Whisky,,"LICORES, CERVEZAS Y  VINOS",VIDRIOS,VIDRIO,ML
